filepath,filename,size_bytes,status,error
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/03-Marzo/2026-03-07_185713.jpg,2026-03-07_185713.jpg,6265211,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/03-Marzo/2026-03-07_185714.jpg,2026-03-07_185714.jpg,6338024,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/03-Marzo/2026-03-07_185715.jpg,2026-03-07_185715.jpg,3940902,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/03-Marzo/2026-03-07_185719.jpg,2026-03-07_185719.jpg,5007051,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/03-Marzo/2026-03-07_185722.jpg,2026-03-07_185722.jpg,5634964,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/03-Marzo/2026-03-07_191755.jpg,2026-03-07_191755.jpg,2472061,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/03-Marzo/2026-03-07_191757.jpg,2026-03-07_191757.jpg,2138900,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/03-Marzo/2026-03-07_191802.jpg,2026-03-07_191802.jpg,2309701,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/03-Marzo/2026-03-07_191805.jpg,2026-03-07_191805.jpg,1846118,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/03-Marzo/2026-03-07_191806.jpg,2026-03-07_191806.jpg,1984364,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/03-Marzo/2026-03-07_191816.jpg,2026-03-07_191816.jpg,1223095,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/03-Marzo/2026-03-07_191838.jpg,2026-03-07_191838.jpg,1236839,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/03-Marzo/2026-03-07_192141.jpg,2026-03-07_192141.jpg,2082379,subido,
/mnt/c/Users/Hector/Pictures/Respaldo/fotos/2026/03-Marzo/2026-03-07_192143.jpg,2026-03-07_192143.jpg,2059279,subido,
